#,关键词,法规,别称
3,,《动植物和卫生检疫措施协议》,
4,,《对外贸易壁垒调查暂行规则》,
5,,《对外贸易法》,
6,,《中华人民共和国对外贸易法》,
7,,《1988年综合贸易与竞争法》,
8,,《与贸易有关的知识产权协议》,
9,,《中国加入议定书》,
10,,《中国加入工作组报告书》,
11,,《马拉喀什建立世界贸易组织协定》,
12,,《WTO协定》,
13,,《建立WTO协定》,
14,,《关于实施1994年关税与贸易总协定第6条的协定》,
15,,《补贴与反补贴措施协定》,
16,,《技术性贸易壁垒协定》,
17,,《关于严格贯彻执行〔中华人民共和国对外贸易法〕的通知》,
,,,
1,延期付汇,,
,,,
1,2009 698,,
,,,
1,劳务合同,《合同法》,
2,,《劳动法》,
3,,《中华人民共和国民法通则》,
4,,《中华人民共和国合同法》,
,,,
1,拍卖法,《关于修改〈中华人民共和国拍卖法〉的决定》,
2,,《中华人民共和国公司法》,
3,,《中华人民共和国产品质量法》,
,,,
1,编辑责任制度,,
,,,
1,698号,,
,,,
1,国税发[2009]82号,,
,,,
1,企业名称,《企业名称登记管理规定》,
2,,《德国商法典》,
3,,《公司法》,
4,,《企业法人登记管理条例》,
5,,《知识产权》,
6,,《民法通则》,
7,,《保护工业产权巴黎公约》,
8,,《班吉协定》,
9,,《发展中国家商标、商号和不正当竞争行为示范法》,
10,,《反不正当竞争法》,
,,,
1,关于设立外商投资股份有限公司若干问题的暂行规定,,
,,,
1,营业税改征增值税试点实施办法,《关于将铁路运输和邮政业纳入营业税改征增值税试点的通知》,
2,,《营业税改征增值税试点实施办法》,
3,,《通知》,
4,,《办法》,
5,,《财政部 国家税务总局关于在全国开展交通运输业和部分现代服务业营业税改征增值税试点税收政策的通知》,
6,,《应税服务范围注释》,
7,,《农产品增值税进项税额核定扣除试点实施办法》,
8,,《中华人民共和国税收征收管理法》,
9,,《财政部 国家税务总局关于将铁路运输和邮政业纳入营业税改征增值税试点的通知》,
10,,《中华人民共和国增值税暂行条例》,
,,,
1,预收货款,,
,,,
1,证券投资基金法,《中华人民共和国证券投资基金法》,
2,,《中华人民共和国信托法》,
3,,《中华人民共和国证券法》,
4,,《中华人民共和国公司法》,
5,,《中华人民共和国公务员法》,
6,,《证券投资基金管理公司管理办法》,
7,,《办法》,
8,,《关于实施〈证券投资基金管理公司管理办法〉若干问题的通知》,
9,,《关于规范基金管理公司设立及股权处置有关问题的通知》,
,,,
1,人民币 代付,,
,,,
1,财税[2010]121号,,
,,,
1,非居民享受税收协定待遇,,
,,,
1,集体 土地,《中华人民共和国宪法》,
2,,《中华人民共和国土地管理法》,
3,,《中共中央 国务院关于加大统筹城乡发展力度进一步夯实农业农村发展基础的若干意见》,
4,,《关于加快推进农村集体土地确权登记发证工作的通知》,
5,,《中华人民共和国物权法》,
6,,《土地登记办法》,
7,,《土地权属争议调查处理办法》,
8,,《确定土地所有权和使用权的若干规定》,
9,,《物权法》,
10,,《农村集体土地使用权抵押登记的若干规定》,
11,,《土地利用现状分类》,
12,,《集体土地所有权调查技术规定》,
13,,《城镇地籍调查规程》,
14,,《集体土地使用证》,
15,,《村镇建房用地管理条例》,
16,,《土地管理法》,
17,,《城镇地籍数据库标准》,
,,,
1,汽车消费税,《中华人民共和国消费税暂行条例》,
,,,
1,国税发[2009]31号,,
,,,
1,养老保险,《国务院关于企业职工养老保险制度改革的决定》,
2,,《国家机关工作人员退休处理暂行办法》,
3,,《国家机关工作人员退职处理暂行办法》,
4,,《关于老干部离职休养的暂行规定》,
5,,《关于老干部离职休养的几项规定》,
6,,《国家公务员暂行条例》,
7,,《关于探索建立农村基层社会保障制度的报告》,
8,,《关于开展新型农村社会养老保险试点的指导意见》,
9,,《城镇企业职工基本养老保险关系转移接续暂行办法》,
10,,《国务院关于完善企业职工基本养老保险制度的决定》,
11,,《中华人民共和国社会保险法》,
12,,《实施若干规定》,
13,,《实施〈中华人民共和国社会保险法〉若干规定》,
14,,《关于建立统一的企业职工基本养老保险制度的决定》,
15,,《关于建立企业补充养老保险制度的意见》,
16,,《国务院关于深化企业职工养老保险制度改革的通知》,
,,,
1,《增值税专用发票使用规定》,《中华人民共和国增值税暂行条例》,
2,,《中华人民共和国税收征收管理法》,
3,,《最高开票限额申请表》,
4,,《国家税务总局关于在全国开展营业税改征增值税试点有关征收管理问题的公告》,
5,,《发票领购簿》,
6,,《税收征管法》,
7,,《认证结果通知书》,
8,,《认证结果清单》,
9,,《销售货物或者提供应税劳务清单》,
10,,《开具红字增值税专用发票申请单》,
11,,《申请单》,
12,,《开具红字增值税专用发票通知单》,
13,,《通知单》,
14,,《丢失增值税专用发票已报税证明单》,
15,,《国家税务总局关于印发〈增值税专用发票使用规定〉的通知》,
16,,《国家税务总局关于增值税专用发票使用问题的补充通知》,
17,,《国家税务总局关于由税务所为小规模企业代开增值税专用发票的通知》,
18,,《国家税务总局关于印发〈关于商业零售企业开具增值税专用发票的通告〉的通知》,
19,,《国家税务总局关于修改〈国家税务总局关于严格控制增值税专用发票使用范围的通知〉的通知》,
20,,《国家税务总局关于加强防伪税控开票系统最高开票限额管理的通知》,
21,,《国家税务总局关于增值税一般纳税人丢失防伪税控系统开具的增值税专用发票有关税务处理问题的通知》,
22,,《国家税务总局关于进一步加强防伪税控开票系统最高开票限额管理的通知》,
,,,
1,中华人民共和国商标法,《中华人民共和国商标法》,
2,,《关于修改〈中华人民共和国商标法〉的决定》,
3,,《商标法》,
4,,《商标管理条例》,
5,,《中华人民共和国反不正当竞争法》,
6,,《中华人民共和国民事诉讼法》,
,,,
1,医疗器械注册管理办法,《医疗器械注册管理办法》,
2,,《办法》,
3,,《医疗器械监督管理条例》,
4,,《体外诊断试剂注册管理办法》,
5,,《医疗器械说明书和标签管理规定》,
6,,《体外诊断试剂注册管理办法（试行）》,
7,,《国家食品药品监督管理总局关于部分医疗器械变更审批和质量管理体系检查职责调整有关事宜的通知》,
,,,
1,非贸易售付汇及境内居民个人外汇收支管理操作规程,,
,,,
1,国家税务总局公告2010年第4号,,
,,,
1,资产损失,,
,,,
1,中外合资经营企业合营各方出资的若干规定,《中外合资经营企业合营各方出资的若干规定》,
2,,《中华人民共和国中外合资经营企业法》,
3,,《国有资产评估管理办法》,
4,,《关于举办中外合资、合作经营企业和向外商出售国有资产必须严格执行对中方资产进行评估的有关规定的紧急通知》,
,,,
1,环境影响评价,《中华人民共和国海洋环境保护法》,
,,,
1,中华人民共和国反垄断法,《中华人民共和国反垄断法（草案）》,
2,,《反不正当竞争法》,
3,,《反垄断法》,
,,,
1,新加坡,《吴时外国传》,
2,,《爪哇史颂》,
3,,《和平的代价》,
4,,《Majulah Singapura》,
5,,《前进吧，新加坡》,
6,,《新加坡宪法》,
7,,《海峡时报》,
8,,《东游记》,
9,,《雾锁南洋》,
10,,《出路》,
11,,《客家之歌》,
12,,《潮州家族》,
13,,《琼园咖啡香》,
14,,《信约：唐山到南洋》,
15,,《信约：动荡的年代》,
16,,《小娘惹》,
17,,《大长今》,
18,,《联合早报》,
19,,《联合晚报》,
20,,《新明日报》,
21,,《我报》,
22,,《大拇指》,
23,,《商业时报》,
24,,《新报》,
25,,《今日报》,
26,,《亚洲地区政府间反海盗合作协定（RECAAP）》,
27,,《马来纪年》,
,,,
1,劳动保护支出,,
,,,
1,特许权使用费 营业税,,
,,,
1,个体工商户,《个体工商户条例》,
2,,《走第三条道路----与你一起做自由职业者》,
3,,《行政许可法》,
4,,《城乡个体工商户管理暂行条例》,
5,,《名称(变更)预先核准申请书》,
6,,《[2] 》,
7,,《企业名称预先核准通知书》,
8,,《个体工商户开业登记申请书》,
9,,《北京市企业登记前置许可项目目录》,
10,,《准予设立登记通知书》,
11,,《城乡个体工商户管理暂行条例实施细则》,
12,,《个体工商户登记程序规定》,
13,,《企业名称登记管理规定》,
14,,《个体工商户开业登记申请表》,
15,,《经营者基本情况表》,
16,,《经营场所证明》,
17,,《个体工商户(港澳居民)设立登记申请书》,
18,,《暂住证》,
19,,《预核准名称投资人名录表》,
20,,《个体工商户变更(备案)登记、换（补）营业执照申请书》,
21,,《个体工商户变更申请表》,
22,,《个体工商户营业执照》,
23,,《企业名称变更预先核准通知书》,
24,,《承诺书》,
25,,《营业执照》,
26,,《个体工商户注销登记申请书》,
27,,《个人独资企业法》,
28,,《停业申请登记表》,
29,,《停、复业报告书》,
,,,
1,增值税实施条例,《中华人民共和国增值税暂行条例实施细则》,
2,,《中华人民共和国增值税暂行条例》,
3,,《关于修改〈中华人民共和国增值税暂行条例实施细则〉和〈中华人民共和国营业税暂行条例实施细则〉的决定》,
,,,
1,反洗钱,《中国人民银行法》,
2,,《反洗钱法》,
3,,《金融机构反洗钱规定》,
4,,《联合国禁止非法贩运麻醉药品和精神药物公约》,
5,,《联合国打击跨国有组织犯罪公约》,
6,,《联合国反腐败公约》,
7,,《制止向恐怖主义提供资助的国际公约》,
8,,《联合国反对非法交易麻醉药品和精神病药物公约》,
9,,《关于禁毒的决定》,
10,,《刑法修正案（三）》,
11,,《刑法修正案（六）》,
12,,《中华人民共和国反洗钱法》,
13,,《中华人民共和国中国人民银行法》,
14,,《中国人民银行行政处罚程序规定》,
,,,
1,外商投资股份有限公司,,
,,,
1,保险公司管理规定,《中华人民共和国保险法》,
2,,《保险法》,
3,,《中华人民共和国公司法》,
4,,《公司法》,
5,,《保险公司管理规定》,
6,,《中华人民共和国企业破产法》,
,,,
1,中华人民共和国海关进出口货物征税管理办法,《中华人民共和国海关法》,
2,,《海关法》,
3,,《中华人民共和国进出口关税条例》,
4,,《关税条例》,
5,,《海关征税管理办法》,
6,,《中华人民共和国海关进出口货物征税管理办法》,
7,,《进出口货物征免税证明》,
8,,《征免税证明》,
9,,《海关补征税款告知书》,
10,,《中华人民共和国行政复议法》,
11,,《中华人民共和国海关实施〈行政复议法〉办法》,
12,,《中华人民共和国海关行政处罚实施条例》,
,,,
1,QDII,,
,,,
1,香港 避免双重征税,,
,,,
1,限制性股票,《上市公司股权激励管理办法》,
2,,《限制性股票股权激励计划》,
3,,《上市公司股权激励管理办法（试行）》,
4,,《上市公司股票激励管理办法（试行）》,
,,,
1,财税[2008]151号,,
,,,
1,非营利组织,,
,,,
1,财税[2009]59,,
,,,
1,年终奖,《劳动法》,
2,,《华盛顿邮报》,
3,,《2012企业年终奖调研报告》,
4,,《2013企业年终奖调研报告》,
,,,
1,国民经济行业分类,《国民经济行业分类》,
2,,《国际标准行业分类》,
3,,《所有经济活动的国际标准产业分类》,
,,,
1,预付卡,《单用途商业预付卡管理办法（征求意见稿）》,
2,,《征求意见稿》,
3,,《预付卡市场研究及预测报告（2010-2012）》,
4,,《侵害消费者权益行为处罚办法（征求意见稿）》,
5,,《支付机构预付卡业务管理办法》,
6,,《中华人民共和国中国人民银行法 》,
7,,《非金融机构支付服务管理办法 》,
8,,《 支付业务许可证 》,
9,,《支付业务许可证》,
10,,《中华人民共和国发票管理办法》,
11,,《非金融机构支付服务管理办法》,
12,,《支付业务许可证 》,
,,,
1,跨地区经营,,
,,,
1,总分机构,,
,,,
1,无照经营,《无照经营查处取缔办法》,
,,,
1,企业收购,《委托合同》,
2,,《聘请合同》,
,,,
1,女职工劳动保护规定,《女职工劳动保护规定》,
2,,《女职工劳动保护特别规定》,
,,,
1,外商投资产业目录,《外商投资产业指导目录（2011年修订）》,
2,,《外商投资产业指导目录（2007年修订）》,
3,,《野生药材资源保护条例》,
4,,《中国珍稀、濒危保护植物名录》,
5,,《内地与香港关于建立更紧密经贸关系的安排》,
6,,《内地与澳门关于建立更紧密经贸关系的安排》,
7,,《海峡两岸经济合作框架协议》,
8,,《目录》,
9,,《中西部地区外商投资优势产业目录》,
,,,
1,固定资产折旧,,
,,,
1,国有资产评估管理办法,《国有资产评估管理办法》,
2,,《办法》,
,,,
1,指导外商投资方向规定,《指导外商投资方向规定》,
2,,《外商投资产业指导目录》,
3,,《中西部地区外商投资优势产业目录》,
4,,《指导外商投资方向暂行规定》,
,,,
1,中华人民共和国海关对加工贸易货物监管办法,《中华人民共和国海关对加工贸易货物监管办法》,
2,,《海关总署关于修改〈中华人民共和国海关对加工贸易货物监管办法〉的决定》,
3,,《海关总署关于修改〈中华人民共和国海关对加工贸易货物监管办法〉的决定（二）》,
4,,《办法》,
5,,《中华人民共和国海关加工贸易货物监管办法》,
6,,《中华人民共和国海关法》,
7,,《中华人民共和国会计法》,
8,,《加工贸易加工企业生产能力证明》,
9,,《核销结案通知书》,
10,,《中华人民共和国海关行政处罚实施条例》,
11,,《海关法》,
,,,
1,档案 文件 保存期限 企业,,
,,,
1,职工持股会,《外经贸股份有限公司内部职工持股企业试点暂行办法》,
2,,《关于外经贸试点企业内部职工持股会登记管理问题的暂行规定》,
3,,《北京市现代企业制度试点企业职工持股会试行办法》,
4,,《中华人民共和国民法通则》,
5,,《民法通则》,
6,,《社会团体登记管理条例》,
7,,《上海市关于公司设立职工持股会的试点办法》,
8,,《甘肃省股份制企业内部职工持股暂行办法》,
9,,《上海市关于公司设立职工持股的试点办法》,
10,,《陕西省公司职工持股会试行办法》,
11,,《德国民法典》,
12,,《瑞士民法典》,
13,,《山西省企业职工合股基金会设立登记暂行办法》,
14,,《公司法》,
15,,《关于暂停对企业内部职工持股会进行社团法人登记的函》,
16,,《关于职工持股会及工会能否作为上市公司股东的复函》,
17,,《关于逐步撤销职工持股会的指导意见的通知》,
,,,
1,2009 59,,
,,,
1,物业管理,《深圳经济特区住宅区物业管理条例》,
2,,《城市新建住宅小区管理办法》,
3,,《物业管理条例》,
4,,《房地产业十二五发展规划》,
5,,《物业管理师制度暂行规定》,
6,,《物业管理师资格考试实施办法》,
7,,《物业管理师资格认定考试办法》,
8,,《注册物业管理师》,
9,,《物业管理实务》,
10,,《物业管理基本制度与政策》,
11,,《物业管理综合能力》,
12,,《物业经营管理》,
13,,《考试大纲》,
14,,《2010年度全国物业管理师资格考试的通知》,
15,,《物业服务合同》,
16,,《最高人民法院关于审理物业服务纠纷案件具体应用法律若干问题的解释》,
17,,《中华人民共和国民法通则》,
18,,《中华人民共和国物权法》,
19,,《中华人民共和国合同法》,
20,,《中华人民共和国价格法》,
21,,《物业服务收费管理办法》,
22,,《价格违法行为行政处罚规定》,
23,,《城市住宅小区物业管理服务收费暂行办法》,
24,,《物权法》,
,,,
1,分派股息,,
,,,
1,个税,《税政实施要则》,
2,,《中华人民共和国个人所得税法》,
3,,《中华人民共和国个人收入调节税暂行条例》,
4,,《关于修改的决定》,
5,,《中华人民共和国个人所得税法实施条例》,
6,,《关于修改〈中华人民共和国个人所得税法〉的决定》,
7,,《个人储蓄存款利息所得税》,
8,,《我国居民收入分配状况及财税调节政策》,
9,,《中华人民共和国个人所得税法修正案(草案)》,
10,,《个人所得税法修正案草案》,
11,,《对储蓄存款利息征收个人所得税的实施办法》,
12,,《国务院关于工人退休、退职的暂行办法》,
13,,《关于以高新技术成果出资入股若干问题的规定》,
14,,《〈关于以高新技术成果出资入股若干问题的规定〉实施办法》,
15,,《出资人股高新技术成果认定书》,
16,,《国家税务总局关于个人所得税若干业务问题的批得》,
17,,《关于个人与用人单位解除劳动关系取得的一次性补偿收入征免个人所得税问题的通知》,
,,,
1,企业职工生育保险试行办法,,
,,,
1,增值税专用发票管理办法,,
,,,
1,风电,《可再生能源法》,
2,,《海上风电开发建设管理暂行办法》,
3,,《“十二五”国家战略性新兴产业发展规划》,
4,,《可再生能源产业发展“十二五”规划》,
5,,《中国风电发展报告2012》,
6,,《关于增补部分省、自治区“十二五”风电核准计划项目的通知》,
7,,《可再生能源电力配额管理办法讨论稿》,
8,,《电网企业全额收购可再生能源电量监管办法》,
9,,《可再生能源法修正案》,
10,,《“十一五”十大重点节能工程实施意见》,
11,,《风力发电科技发展“十二五”专项规划》,
12,,《可再生能源发展“十二五”规划》,
13,,《重点区域风电消纳监管报告》,
14,,《关于完善风力发电上网电价政策的通知》,
15,,《关于适当调整陆上风电标杆上网电价的通知》,
16,,《关于资源综合利用及其他产品增值税政策的通知》,
17,,《关于公布公共基础设施项目企业所得税优惠目录(2008年版)的通知》,
18,,《关于落实国务院加快振兴装备制造业的若干意见有关进口税收政策的通知》,
19,,《能源税收法》,
20,,《税收改革法案（The Tax Reform Act）》,
21,,《能源政策法》,
22,,《综合电力竞争条例》,
23,,《复苏与再投资法案》,
24,,《强制购电法》,
25,,《可再生能源购电法》,
26,,《电力法》,
,,,
1,商标法实施条例,,
,,,
1,内地和香港,,
,,,
1,中华人民共和国企业法人登记管理条例,《中华人民共和国企业法人登记管理条例》,
2,,《国务院关于废止和修改部分行政法规的决定》,
3,,《中华人民共和国民法通则》,
4,,《企业法人营业执照》,
5,,《营业执照》,
6,,《中外合资经营企业登记管理办法》,
7,,《工商企业登记管理条例》,
8,,《公司登记管理暂行规定》,
,,,
1,汽车品牌销售管理实施办法,《汽车品牌销售管理实施办法》,
2,,《外商投资企业批准证书》,
3,,《道路机动车辆生产企业及产品公告》,
4,,《汽车和挂车类型的术语和定义》,
,,,
1,生育保险,《生育保险办法（征求意见稿）》,
2,,《女职工劳动保护规定》,
3,,《关于女职工生育待遇若干问题的通知》,
4,,《企业职工生育保险试行办法》,
5,,《社会保险登记表》,
6,,《参加基本养老、工伤和生育保险人员增减表》,
7,,《企业职工基本养老、工伤和生育保险申报汇总表》,
8,,《企业职工生育医疗证审领表》,
9,,《企业职工计划生育手术医疗证申领表》,
10,,《企业职工生育医药费报销申请单》,
11,,《企业职工生育保险待遇核准结算表》,
12,,《企业职工生育保险外地就医申请表》,
13,,《独生子女优待证》,
14,,《独子证》,
15,,《生育保险待遇申报表》,
16,,《女职工保健工作暂行规定》,
17,,《规定》,
18,,《武汉市职工生育保险办法》,
19,,《独生子女光荣证》,
20,,《生育津贴享受的费用标准》,
,,,
1,中华人民共和国海关进出口货物减免税管理办法,《中华人民共和国海关法》,
2,,《海关法》,
3,,《中华人民共和国进出口关税条例》,
4,,《关税条例》,
5,,《减免税手续办理委托书》,
6,,《进出口货物减免税备案申请表》,
7,,《进出口货物征免税申请表》,
8,,《中华人民共和国海关进出口货物征免税证明》,
9,,《征免税证明》,
10,,《中华人民共和国海关准予办理减免税货物税款担保证明》,
11,,《准予担保证明》,
12,,《中华人民共和国海关不准予办理减免税货物税款担保决定》,
13,,《中华人民共和国海关准予办理减免税货物税款担保延期证明》,
14,,《准予延期证明》,
15,,《中华人民共和国海关不准予办理减免税货物税款担保延期决定》,
16,,《进口减免税货物贷款抵押承诺保证书》,
17,,《中华人民共和国海关准予进口减免税货物贷款抵押通知》,
18,,《中华人民共和国海关准予办理进口减免税货物贷款抵押延期通知》,
19,,《减免税货物使用状况报告书》,
20,,《中华人民共和国海关进口减免税货物解除监管证明》,
21,,《中华人民共和国海关稽查条例》,
22,,《中华人民共和国海关行政处罚实施条例》,
23,,《中华人民共和国海关进出口货物减免税管理办法》,
,,,
1,房屋登记办法,《房屋登记办法》,
2,,《中华人民共和国物权法》,
3,,《中华人民共和国城市房地产管理法》,
4,,《村庄和集镇规划建设管理条例》,
5,,《房屋所有权证》,
6,,《房屋他项权证》,
7,,《城市房屋权属登记管理办法》,
8,,《建设部关于修改的决定》,
,,,
1,租金,《管子·轻重乙》,
2,,《儿女英雄传》,
3,,《卢沟桥》,
,,,
1,增值税 视同销售,,
,,,
1,滞纳金,《中华人民共和国税收征收管理法》,
2,,《沈阳市城市燃气管理规定》,
3,,《合同法》,
4,,《城市供水价格管理办法》,
5,,《建设部关于对自来水水费滞纳金有关问题的复函（建办综函【2005】120号）》,
6,,《中华人民共和国合同法》,
7,,《城市供水条例》,
8,,《水资源费征收办法》,
,,,
1,关于禁止商业贿赂行为的暂行规定,《关于禁止商业贿赂行为的暂行规定》,
2,,《中华人民共和国反不正当竞争法》,
3,,《反不正当竞争法》,
4,,《反不正当竞争法[3] 》,
,,,
1,外商投资电信企业管理规定,《国务院关于修改〈外商投资电信企业管理规定〉的决定》,
2,,《外商投资电信企业管理规定》,
3,,《中华人民共和国电信条例》,
4,,《外商投资经营电信业务审定意见书》,
5,,《外商投资企业批准证书》,
6,,《电信业务经营许可证》,
,,,
1,劳动仲裁,《劳动争议调解仲裁法》,
2,,《授权委托书》,
3,,《提交证据材料清单》,
4,,《营业执照》,
5,,《法定代表人身份证明书》,
6,,《提交证明材料清单》,
7,,《中华人民共和国劳动争议调解仲裁法》,
8,,《中华人民共和国公务员法》,
9,,《中国人民解放军文职人员条例》,
10,,《中华人民共和国民事诉讼法》,
11,,《人事争议处理规定》,
12,,《劳动争议仲裁委员会办案规则》,
13,,《人事争议处理办案规则》,
14,,《劳动争议仲裁法》,
15,,《仲裁申请书》,
16,,《案件受理通知书》,
17,,《不予受理通知书》,
18,,《劳动人事争议仲裁组织规则》,
19,,《劳动争议仲裁委员会组织规则》,
20,,《劳动仲裁员聘任管理办法》,
21,,《人事争议仲裁员管理办法》,
22,,《四川省劳动和社会保障监察条例》,
,,,
1,高尔夫,《明宣宗行乐图》,小白球
2,,《国务院办公厅关于暂停新建高尔夫球场的通知》,
3,,《Rules ofGolf》,
4,,《高尔夫达人》,
,,,
1,营业税实施细则,《中华人民共和国营业税暂行条例》,
2,,《中华人民共和国营业税暂行条例实施细则》,
3,,《实施细则》,
4,,《关于修改〈中华人民共和国增值税暂行条例实施细则〉和〈中华人民共和国营业税暂行条例实施细则〉的决定》,
5,,《中华人民共和国增值税暂行条例实施细则》,
,,,
1,OECD,《反贿赂协议》,
2,,《经合组织活动》,
3,,《经合组织观察家》,
4,,《金融统计》,
5,,《经合组织经济调研》,
6,,《外贸统计》,
7,,《经合组织经济展望》,
8,,《主要经济指数》,
9,,《发展援助进展及对策》,
10,,《农业展望》,
11,,《能源平衡》,
12,,《金融市场趋势》,
13,,《高等教育管理》,
14,,《经合组织就业展望》,
15,,《科学、技术、工业评论》,
,,,
1,"医疗保险, 重复保险, 人身保险",,
,,,
1,正回购,,回购
,,,
1,信托公司 股权,,
,,,
1,保健食品管理办法,《保健食品管理办法》,
2,,《中华人民共和国食品卫生法》,
3,,《保健食品批准证书》,
4,,《进口保健食品批准证书》,
5,,《食品卫生法》,
6,,《食品广告管理办法》,
,,,
1,11,,
,,,
1,国税函[2009]98号,,
,,,
1,产业指导目录,《国务院关于发布实施的决定》,
2,,《产业结构调整指导目录(2011年本)》,
3,,《国家发展改革委关于修改有关条款的决定》,
4,,《产业结构调整指导目录 (2011 年本)》,
5,,《产业结构调整指导目录》,
6,,《指导目录》,
7,,《产业结构调整指导目录(2005年本)》,
8,,《目录(2005年本)》,
,,,
1,中华人民共和国保险法,,
,,,
1,税务程序,,
,,,
1,企业所得税 税前扣除,,
,,,
1,商业保险,,
,,,
1,股利分配,《不完全市场与我国上市公司的股利政策》,
2,,《我国上市公司的股利政策研究》,
3,,《我国上市公司首次股利信号传递效应的实证研究》,
,,,
1,国家税务总局关于非居民企业所得税管理若干问题的公告,,
,,,
1,小额贷款,《1983年特别格莱珉银行法令》,
2,,《人民币利率管理规定》,
3,,《中国人民银行关于人民币贷款利率有关问题的通知》,
4,,《中国人民银行关于人民币存贷款计结息问题的通知》,
5,,《2014年上半年小额贷款公司数据统计报告》,
6,,《中国小额贷款行业市场前瞻与投资战略规划分析报告》,
7,,《中华人民共和国担保法》,
8,,《中华人民共和国商业银行法》,
9,,《商业银行市场风险管理指引》,
10,,《商业银行操作风险管理指引》,
11,,《商业银行内部控制评价试行办法》,
12,,《关于印发〈金融企业会计制度〉的通知》,
13,,《金融企业呆账准备提取管理办法》,
14,,《贷款风险分类指导原则》,
15,,《银行贷款损失准备计提指引》,
16,,《商业银行风险》,
17,,《金融企业财务规则》,
,,,
1,有奖销售,《中华人民共和国反不正当竞争法》,
2,,《反不正当竞争法》,
,,,
1,股权质押登记,,
,,,
1,计算机软件,《计算机软件基础》,
,,,
1,财政补贴,《农业保险条例（征求意见稿）》,
2,,《征求意见稿》,
,,,
1,电信业务分类目录,,
,,,
1,关于出口货物劳务增值税和消费税政策的通知,,
,,,
1,信托投资公司,,
,,,
1,职业病,《论工匠的疾病》,
2,,《中华人民共和国职业病防治法》,
3,,《职业病目录》,
4,,《职业病分类和目录》,
5,,《职业健康检查项目及周期》,
6,,《职业健康检查表》,
7,,《放射工作人员健康检查表》,
8,,《职业病防治法》,
9,,《尘肺病诊断标准》,
10,,《尘肺病理诊断标准》,
11,,《职业性中毒性肝病诊断标准》,
12,,《职业性急性化学物中毒诊断标准（总则）》,
13,,《职业性放射性疾病诊断标准（总则）》,
14,,《职业性皮肤病诊断标准（总则）》,
15,,《突发公共卫生事件应急处理法》,
16,,《放射性疾病诊断总则》,
17,,《中华人民共和国工伤保险条例》,
18,,《中华人民共和国劳动法》,
19,,《中华人民共和国安全生产法》,
,,,
1,公允价值,《金融工具：确认和计量》,
2,,《企业会计准则第3号--投资性房地产》,
3,,《企业会计准则第22号--金融工具确认和计量》,
,,,
1,中德税收协定,,
,,,
1,石油,《节能减排“十二五”规划》,
2,,《“十二五”国家战略性新兴产业发展规划》,
3,,《油气杂志》,
4,,《石油、金钱、权力》,
5,,《伊里亚特》,
6,,《梦溪笔谈》,
7,,《汉书》,
8,,《水经注》,
9,,《酉阳杂俎》,
10,,《博物志》,
11,,《元一统志》,
12,,《今日美国》,
,,,
1,善意取得,《德国民法典》,
2,,《物权法》,
3,,《民法通则》,
4,,《关于贯彻执行〈中华人民共和国民法通则〉若干问题的意见（试行）》,
5,,《关于贯彻执行若干问题的意见（试行）》,
6,,《中华人民共和国物权法》,
,,,
1,财税[2008]170号,,
,,,
1,劳务分包,《劳动法》,
2,,《合同法》,
3,,《民法》,
4,,《建筑业企业资质管理规定》,
5,,《最高人民法院关于审理建设工程施工合同纠纷案件适用法律问题的解释》,
6,,《建设部关于建立和完善劳务分包制度发展建筑劳务企业的意见》,
7,,《建筑法》,
,,,
1,中新税收协定,,
,,,
1,反倾销,《关税及贸易总协定》,
2,,《反倾销协议》,
3,,《中华人民共和国反倾销条例》,
,,,
1,进出口关税条例,《进出口关税条例》,
2,,《国务院关于修改 的决定》,
3,,《中华人民共和国海关法》,
4,,《海关进出口税则》,
5,,《海关法》,
6,,《中华人民共和国进出口税则》,
7,,《税则》,
8,,《中华人民共和国进境物品进口税税率表》,
9,,《进境物品进口税税率表》,
10,,《中华人民共和国反倾销条例》,
11,,《中华人民共和国反补贴条例》,
12,,《中华人民共和国保障措施条例》,
13,,《中华人民共和国进境物品归类表》,
14,,《中华人民共和国进境物品完税价格表》,
15,,《中华人民共和国海关法行政处罚实施细则》,
16,,《中华人民共和国进出口关税条例》,
,,,
1,上市公司,《[1] 公司法》,
2,,《证券法》,
3,,《公司法》,
4,,《股票发行和交易管理暂行条例》,
5,,《上市规则》,
6,,《暂停股票上市公告书》,
7,,《终止股票上市公告书》,
8,,《中华人民共和国证券法》,
,,,
1,企业内部控制基本规范,《企业内部控制基本规范》,
2,,《中华人民共和国公司法》,
3,,《中华人民共和国证券法》,
4,,《中华人民共和国会计法》,
,,,
1,保税区海关监管办法,《保税区海关监管办法》,
2,,《国务院关于废止和修改部分行政法规的决定》,
3,,《中华人民共和国海关法》,
4,,《中华人民共和国海关行政处罚实施条例》,
5,,《中华人民共和国海关对进出上海外高桥保税区货物、运输工具和个人携带物品的管理办法》,
,,,
1,国税函[2008]875号,,
,,,
1,发票管理办法实施细则,,
,,,
1,关于工资总额组成的规定,《关于工资总额组成的暂行规定》,
,,,
1,海商法,《大百科全书》,
2,,《中华人民共和国海商法》,
3,,《海牙维斯比规则》,
4,,《汉堡规则》,
5,,《统一提单若干法律规则的国际公约》,
6,,《海牙规则》,
7,,《联合国海上货物运输公约》,
8,,《统一有关海上救助的若干法律规则的国际公约》,
9,,《国际海上避碰规则公约》,
10,,《约克-安特卫普规则》,
11,,《防止海上油污国际公约》,
