keyword,original terms,new terms,same
关于在上海市开展交通运输业和部分现代服务业营业税改征增值税试点的通知,关于 / 在 / 上海 / 市 / 开展 / 交通 / 运输业 / 和 / 部分 / 现代 / 服务业 / 营业税 / 改征 / 增值税 / 试点 / 的 / 通知,关于 / 在 / 上海市 / 开展 / 交通运输业 / 和 / 部分 / 现代 / 服务业 / 营业税 / 改 / 征 / 增值税 / 试点 / 的 / 通知,N
劳务派遣合同,劳务 / 派遣 / 合同,劳务 / 派遣 / 合同,Y
关于在北京等8省市开展交通运输业和部分现代服务业营业税改征增值税试点的通知,关于 / 在 / 北京 / 等 / 8 / 省市 / 开展 / 交通 / 运输业 / 和 / 部分 / 现代 / 服务业 / 营业税 / 改征 / 增值税 / 试点 / 的 / 通知,关于 / 在 / 北京 / 等 / 8 / 省市 / 开展 / 交通运输业 / 和 / 部分 / 现代 / 服务业 / 营业税 / 改 / 征 / 增值税 / 试点 / 的 / 通知,N
关于通过新闻媒介通知职工回单位并对逾期不归者按自动离职或旷工处理问题的请示,关于 / 通过 / 新闻 / 媒介 / 通知 / 职工 / 回 / 单位 / 并 / 对 / 逾期 / 不 / 归 / 者 / 按 / 自动 / 离职 / 或 / 旷工 / 处理 / 问题 / 的 / 请示,关于 / 通过 / 新闻 / 媒介 / 通知 / 职工 / 回 / 单位 / 并 / 对 / 逾期 / 不 / 归 / 者 / 按 / 自动 / 离职 / 或 / 旷工 / 处理 / 问题 / 的 / 请示,Y
非居民企业 股息 企业所得税,非 / 居民 / 企业 / 股息 / 企业 / 所得税,非 / 居民 / 企业 / 股息 / 企业 / 所得税,Y
股权转让不得扣除 未分配利润,股权 / 转让 / 不得 / 扣除 / 未 / 分配 / 利润,股权 / 转让 / 不得 / 扣除 / 未 / 分配 / 利润,Y
中国 与 香港 与 税收安排,中国 / 与 / 香港 / 与 / 税收 / 安排,中国 / 与 / 香港 / 与 / 税收 / 安排,Y
派发股息 税务程序,派发 / 股息 / 税务 / 程序,派发 / 股息 / 税务 / 程序,Y
国税发[1996]684号,国 / 税发 / 1996 / 684 / 号,国税 / 发684 / 号,N
连锁超市销售货物,连锁 / 超市 / 销售 / 货物,连锁 / 超市 / 销售 / 货物,Y
股权转让所得 所在地,股权 / 转让 / 所得 / 所在地,股权 / 转让 / 所得 / 所在地,Y
电子科技公司,电子 / 科技 / 公司,电子 / 科技 / 公司,Y
企业併购方式,企业 / 并购 / 方式,企业 / 并购 / 方式,Y
资产合併,资产 / 合并,资产 / 合并,Y
外资企业併购,外资 / 企业 / 并购,外资 / 企业 / 并购,Y
外商投资企业资产并购境内企业,外商 / 投资 / 企业 / 资产 / 并购 / 境内 / 企业,外商 / 投资 / 企业 / 资产 / 并购 / 境内 / 企业,Y
房地产股权,房地产 / 股权,房地产 / 股权,Y
购物卡 开具发票,购物卡 / 开具 / 发票,购物卡 / 开具 / 发票,Y
办公用品的扣除,办公 / 用品 / 的 / 扣除,办公 / 用品 / 的 / 扣除,Y
增值税 劳保,增值税 / 劳保,增值税 / 劳保,Y
併购下的税务影响,并购 / 下 / 的 / 税务 / 影响,并购 / 下 / 的 / 税务 / 影响,Y
企业所得税法 与 子公司,企业 / 所得税 / 法 / 与 / 子公司,企业 / 所得税法 / 与 / 子公司,N
朱斌,朱 / 斌,朱 / 斌,Y
税收征收管理,税收 / 征收 / 管理,税收 / 征收 / 管理,Y
印花税条例,印花税 / 条例,印花税 / 条例,Y
暂行条例,暂行 / 条例,暂行 / 条例,Y
境外,境外,境外,Y
矿产资源补偿费,矿产 / 资源 / 补偿费,矿产 / 资源 / 补偿费,Y
价外费用,价外 / 费用,价外费用,N
中华人民共和国城乡规划法,中华 / 人民 / 共和国 / 城乡 / 规划 / 法,中华人民共和国 / 城乡 / 规划 / 法,N
商务部关于进一步改进外商投资审批工作的通知,商务部 / 关于 / 进一步 / 改进 / 外商 / 投资 / 审批 / 工作 / 的 / 通知,商务部 / 关于 / 进一步 / 改进 / 外商 / 投资 / 审批 / 工作 / 的 / 通知,Y
商品房买卖,商品房 / 买卖,商品房 / 买卖,Y
互联网文化管理暂行规定,互联网 / 文化 / 管理 / 暂行 / 规定,互联网 / 文化 / 管理 / 暂行 / 规定,Y
外商投资广告企业管理规定,外商 / 投资 / 广告 / 企业 / 管理 / 规定,外商 / 投资 / 广告 / 企业 / 管理 / 规定,Y
国发[2000]18号,国发 / 2000 / 18 / 号,国发18 / 号,N
晚育,晚育,晚育,Y
大修理 会计,大 / 修理 / 会计,大修 / 理会 / 计,N
中华人民共和国消费税暂行条例,中华 / 人民 / 共和国 / 消费 / 税 / 暂行 / 条例,中华人民共和国 / 消费税 / 暂行 / 条例,N
合同法解释二,合同 / 法 / 解释 / 二,合同法 / 解释 / 二,N
职工福利费 与 职工福利费的开支范围,职工 / 福利费 / 与 / 职工 / 福利费 / 的 / 开支 / 范围,职工 / 福利费 / 与 / 职工 / 福利费 / 的 / 开支 / 范围,Y
董事会,董事会,董事会,Y
偷税,偷税,偷税,Y
财政部、国家税务总局关于企业关联方利息支出税前扣除标准有关税收政策问题的通知,财政部 / 国家 / 税务 / 总局 / 关于 / 企业 / 关联方 / 利息 / 支出 / 税前 / 扣除 / 标准 / 有关 / 税收 / 政策 / 问题 / 的 / 通知,财政部 / 国家 / 税务 / 总局 / 关于 / 企业 / 关联 / 方 / 利息支出 / 税 / 前 / 扣除 / 标准 / 有关 / 税收 / 政策 / 问题 / 的 / 通知,N
124,124,124,Y
服务贸易等项目对外支付出具税务证明管理办法,服务 / 贸易 / 等 / 项目 / 对外 / 支付 / 出具 / 税务 / 证明 / 管理 / 办法,服务 / 贸易 / 等 / 项目 / 对外 / 支付 / 出具 / 税务 / 证明 / 管理 / 办法,Y
资金池,资金 / 池,资金 / 池,Y
商标使用权,商标 / 使用权,商标 / 使用权,Y
自理报检单位,自理 / 报检 / 单位,自理 / 报 / 检 / 单位,N
金太阳,金太阳,金 / 太阳,N
鸡,鸡,鸡,Y
出口 收入 报关,出口 / 收入 / 报关,出口 / 收入 / 报关,Y
The State Administration of Taxation,THE / STATE / ADMINISTRATION / OF / TAXATION,THE / STATE / ADMINISTRATION / OF / TAXATION,Y
开办费 与 注册资本,开办费 / 与 / 注册 / 资本,开办费 / 与 / 注册资本,N
教育 企业所得税,教育 / 企业 / 所得税,教育 / 企业 / 所得税,Y
债券 与 保险公司,债券 / 与 / 保险 / 公司,债券 / 与 / 保险 / 公司,Y
广告 业务招待费 税前扣除,广告 / 业务 / 招待费 / 税前 / 扣除,广告 / 业务 / 招待费 / 税 / 前 / 扣除,N
广州 劳动争议,广州 / 劳动 / 争议,广州 / 劳动 / 争议,Y
破产重组后,破产 / 重组 / 后,破产 / 重组 / 后,Y
个人存款帐户实名制规定,个人 / 存款 / 帐户 / 实名 / 制 / 规定,个人 / 存款 / 帐户 / 实 / 名 / 制 / 规定,N
金融企业国有产权转让,金融 / 企业 / 国有 / 产权 / 转让,金融 / 企业 / 国有 / 产权转让,N
收费权 质押,收费 / 权 / 质押,收费权 / 质押,N
汽车 三包,汽车 / 三包,汽车 / 三包,Y
国家外汇管理局关于印发货物贸易外汇管理法规有关问题的通知,国家 / 外汇 / 管理局 / 关于 / 印发 / 货物 / 贸易 / 外汇 / 管理 / 法规 / 有关 / 问题 / 的 / 通知,国家 / 外汇 / 管理局 / 关于 / 印发 / 货物 / 贸易 / 外汇 / 管理 / 法规 / 有关 / 问题 / 的 / 通知,Y
轮胎 与 损害,轮胎 / 与 / 损害,轮胎 / 与 / 损害,Y
"""国有资产""",国有 / 资产,国有 / 资产,Y
农民工参加基本养老保险办法,农民 / 工 / 参加 / 基本 / 养老 / 保险 / 办法,农民工 / 参加 / 基本 / 养老 / 保险 / 办法,N
国税发[2010]75号文,国 / 税发 / 2010 / 75 / 号 / 文,国税 / 发75 / 号 / 文,N
营业税转增值税,营业税 / 转 / 增值税,营业税 / 转 / 增值税,Y
股份有限公司国有股股东行使股权行为规范意见,股份 / 有限 / 公司 / 国有 / 股 / 股东 / 行使 / 股权 / 行为 / 规范 / 意见,股份 / 有限公司 / 国有股 / 股东 / 行使 / 股权 / 行为 / 规范 / 意见,N
金融 营业税,金融 / 营业税,金融 / 营业税,Y
赠送,赠送,赠送,Y
劳保用品的发放标准和范围,劳保 / 用品 / 的 / 发放 / 标准 / 和 / 范围,劳保 / 用品 / 的 / 发放 / 标准 / 和 / 范围,Y
关于上海市外商投资企业在本市设立分支机构有关规定的通知,关于 / 上海 / 市 / 外商 / 投资 / 企业 / 在 / 本市 / 设立 / 分支 / 机构 / 有关 / 规定 / 的 / 通知,关于 / 上海市 / 外商 / 投资 / 企业 / 在 / 本市 / 设立 / 分支 / 机构 / 有关 / 规定 / 的 / 通知,N
ss,SS,SS,Y
合伙企业 税,合伙 / 企业 / 税,合伙 / 企业 / 税,Y
会计师事务所,会计师 / 事务所,会计师 / 事务所,Y
财企[2009]242号,财企 / 2009 / 242 / 号,财 / 企242 / 号,N
中华人民共和国邮政法,中华 / 人民 / 共和国 / 邮政法,中华人民共和国 / 邮政法,N
产品责任法,产品 / 责任法,产品责任法,N
来料加工 增值税,来料 / 加工 / 增值税,来料加工 / 增值税,N
国家税务总局关于企业清算所得税有关问题的通知,国家 / 税务 / 总局 / 关于 / 企业 / 清算 / 所得税 / 有关 / 问题 / 的 / 通知,国家 / 税务 / 总局 / 关于 / 企业 / 清算 / 所得税 / 有关 / 问题 / 的 / 通知,Y
互联网出版管理暂行规定,互联网 / 出版 / 管理 / 暂行 / 规定,互联网 / 出版 / 管理 / 暂行 / 规定,Y
非居民企业 预提所得税,非 / 居民 / 企业 / 预提 / 所得税,非 / 居民 / 企业 / 预 / 提 / 所得税,N
独立核算 非独立核算,独立 / 核算 / 非 / 独立 / 核算,独立 / 核算 / 非 / 独立 / 核算,Y
境外保险费,境外 / 保险费,境外 / 保险费,Y
个人所得税 股票期权,个人 / 所得税 / 股票 / 期权,个人所得税 / 股票期权,N
经常转移,经常 / 转移,经常 / 转移,Y
书面劳动合同,书面 / 劳动 / 合同,书面 / 劳动 / 合同,Y
委托加工合同,委托 / 加工 / 合同,委托 / 加工 / 合同,Y
外商投资商业领域,外商 / 投资 / 商业 / 领域,外商 / 投资 / 商业 / 领域,Y
毛里求斯,毛里求斯,毛里求斯,Y
insurance,INSURANCE,INSURANCE,Y
反垄断审查,反 / 垄断 / 审查,反 / 垄断 / 审查,Y
国税发[2002]128号,国 / 税发 / 2002 / 128 / 号,国税 / 发128 / 号,N
鼓励软件产业和集成电路产业发展的若干政策,鼓励 / 软件 / 产业 / 和 / 集成 / 电路 / 产业 / 发展 / 的 / 若干 / 政策,鼓励 / 软件产业 / 和 / 集成电路 / 产业 / 发展 / 的 / 若干 / 政策,N
进口关税,进口 / 关税,进口 / 关税,Y
增值电信业务,增值 / 电信 / 业务,增值 / 电信 / 业务,Y
女职工劳动保护,女 / 职工 / 劳动 / 保护,女 / 职工 / 劳动 / 保护,Y
关于鼓励软件产业和集成电路产业发展有关税收政策问题的通知,关于 / 鼓励 / 软件 / 产业 / 和 / 集成 / 电路 / 产业 / 发展 / 有关 / 税收 / 政策 / 问题 / 的 / 通知,关于 / 鼓励 / 软件产业 / 和 / 集成电路 / 产业 / 发展 / 有关 / 税收 / 政策 / 问题 / 的 / 通知,N
道路危险货物运输管理规定,道路 / 危险 / 货物 / 运输 / 管理 / 规定,道路 / 危险 / 货物 / 运输 / 管理 / 规定,Y
道路运输,道路 / 运输,道路 / 运输,Y
吊销营业执照,吊销 / 营业 / 执照,吊销 / 营业执照,N
禁止进口货物目录,禁止 / 进口 / 货物 / 目录,禁止 / 进口 / 货物 / 目录,Y
国务院关于纠正地方自行制定税收先征后返政策的通知,国务院 / 关于 / 纠正 / 地方 / 自行 / 制定 / 税收 / 先 / 征 / 后 / 返 / 政策 / 的 / 通知,国务院 / 关于 / 纠正 / 地方 / 自行 / 制定 / 税收 / 先 / 征 / 后 / 返 / 政策 / 的 / 通知,Y
出口收汇核销管理办法实施细则,出口 / 收汇 / 核销 / 管理 / 办法 / 实施 / 细则,出口 / 收 / 汇 / 核销 / 管理 / 办法 / 实施 / 细则,N
关于研发机构采购设备税收政策的通知,关于 / 研发 / 机构 / 采购 / 设备 / 税收 / 政策 / 的 / 通知,关于 / 研发 / 机构 / 采购 / 设备 / 税收 / 政策 / 的 / 通知,Y
房屋买卖,房屋 / 买卖,房屋 / 买卖,Y
律师事务所,律师 / 事务所,律师 / 事务所,Y
财税[2009]69号,财税 / 2009 / 69 / 号,财税69 / 号,N
关于本市开展外商投资股权投资企业试点工作的实施办法,关于 / 本市 / 开展 / 外商 / 投资 / 股权 / 投资 / 企业 / 试点 / 工作 / 的 / 实施 / 办法,关于 / 本市 / 开展 / 外商 / 投资股 / 权 / 投资 / 企业 / 试点 / 工作 / 的 / 实施 / 办法,N
妇女权益保障,妇女 / 权益 / 保障,妇女 / 权益 / 保障,Y
外商投资企业待遇,外商 / 投资 / 企业 / 待遇,外商 / 投资 / 企业 / 待遇,Y
虚假宣传,虚假 / 宣传,虚假 / 宣传,Y
收养,收养,收养,Y
组织机构代码,组织 / 机构 / 代码,组织 / 机构 / 代码,Y
国税函发[1995]125号,国税 / 函发 / 1995 / 125 / 号,国税 / 函 / 发125 / 号,N
差旅费津贴,差旅费 / 津贴,差旅费 / 津贴,Y
股权转让计算,股权 / 转让 / 计算,股权 / 转让 / 计算,Y
并购方式选择 税收,并购 / 方式 / 选择 / 税收,并购 / 方式 / 选择 / 税收,Y
北京 营业税 增值税,北京 / 营业税 / 增值税,北京 / 营业税 / 增值税,Y
转让债权 损失列支,转让 / 债权 / 损失 / 列支,转让 / 债权 / 损失 / 列支,Y
34 与 2004 与 34 与 中国评估协会,34 / 与 / 2004 / 与 / 34 / 与 / 中国 / 评估 / 协会,34 / 与 / 2004 / 与 / 34 / 与 / 中国 / 评估 / 协会,Y
1051 发改委,1051 / 发改委,1051 / 发改委,Y
要约从何时生效？,要 / 约 / 从 / 何时 / 生效,要约 / 从 / 何时 / 生效,N
增值税 农膜,增值税 / 农膜,增值税 / 农膜,Y
注销 股东 时效,注销 / 股东 / 时效,注销 / 股东 / 时效,Y
免除债务,免除 / 债务,免除 / 债务,Y
合同 鉴于条款 效力,合同 / 鉴于 / 条款 / 效力,合同 / 鉴于 / 条款 / 效力,Y
安徽 资源税,安徽 / 资源 / 税,安徽 / 资源税,N
安徽 矿 资源税,安徽 / 矿 / 资源 / 税,安徽 / 矿 / 资源税,N
分公司资产转让,分公司 / 资产 / 转让,分公司 / 资产 / 转让,Y
出口服务,出口 / 服务,出口 / 服务,Y
统一缴纳增值税,统一 / 缴纳 / 增值税,统一 / 缴纳 / 增值税,Y
同业代付,同业 / 代付,同业 / 代付,Y
技术转让 免税,技术 / 转让 / 免税,技术 / 转让 / 免税,Y
内退,内退,内退,Y
社保法,社保 / 法,社保 / 法,Y
国科发政字[2000]063号,国科 / 发政 / 字 / 2000 / 063 / 号,国 / 科 / 发 / 政 / 字063 / 号,N
软件摊销,软件 / 摊销,软件 / 摊销,Y
水泥,水泥,水泥,Y
出版,出版,出版,Y
竞业,竞业,竞 / 业,N
台湾香港澳门居民在内地就业管理规定,台湾 / 香港 / 澳门 / 居民 / 在 / 内地 / 就业 / 管理 / 规定,台湾 / 香港 / 澳门 / 居民 / 在 / 内地 / 就业 / 管理 / 规定,Y
侵权责任,侵权 / 责任,侵权 / 责任,Y
质保期,质保期,质 / 保 / 期,N
股票期权 个人所得税,股票 / 期权 / 个人 / 所得税,股票期权 / 个人所得税,N
LED,LED,LED,Y
管理费 付汇,管理费 / 付汇,管理费 / 付汇,Y
中介费,中介费,中介费,Y
内资企业登记表格,内 / 资 / 企业 / 登记 / 表格,内资 / 企业 / 登记 / 表格,N
个人所得税 二手房,个人 / 所得税 / 二手房,个人所得税 / 二手 / 房,N
京国税际便函（2012）30号,京国 / 税际 / 便函 / 2012 / 30 / 号,京 / 国税 / 际 / 便函 / 2012 / 30 / 号,N
（2010）兰法民三初,2010 / 兰法 / 民三 / 初,2010 / 兰 / 法 / 民 / 三 / 初,N
特许加盟税收优惠,特许 / 加盟 / 税收 / 优惠,特许 / 加盟 / 税收优惠,N
四川 劳动,四川 / 劳动,四川 / 劳动,Y
利息收入,利息 / 收入,利息 / 收入,Y
研发费,研发费,研发 / 费,N
企业投资项目核准暂行办法,企业 / 投资 / 项目 / 核准 / 暂行 / 办法,企业 / 投资 / 项目 / 核准 / 暂行 / 办法,Y
退职费,退职费,退职费,Y
个人独资企业,个人 / 独资 / 企业,个人 / 独资 / 企业,Y
反价格垄断规定,反 / 价格 / 垄断 / 规定,反 / 价格 / 垄断 / 规定,Y
教育,教育,教育,Y
中美避免双重征税协定,中 / 美 / 避免 / 双重 / 征税 / 协定,中 / 美 / 避免 / 双重 / 征税 / 协定,Y
研发,研发,研发,Y
企业所得税税收优惠,企业 / 所得税 / 税收 / 优惠,企业 / 所得税 / 税收优惠,N
非全日制,非 / 全日制,非 / 全日制,Y
计算机信息系统集成资质管理办法,计算机 / 信息 / 系统 / 集成 / 资质 / 管理 / 办法,计算机 / 信息 / 系统集成 / 资质 / 管理 / 办法,N
会计,会计,会计,Y
土地法,土地 / 法,土地法,N
中国民用航空运输销售代理资格认可办法,中国 / 民用 / 航空 / 运输 / 销售 / 代理 / 资格 / 认可 / 办法,中国 / 民用 / 航空 / 运输 / 销售 / 代理 / 资格 / 认可 / 办法,Y
关于技术开发技术转让有关营业税问题的批复,关于 / 技术 / 开发 / 技术 / 转让 / 有关 / 营业税 / 问题 / 的 / 批复,关于 / 技术 / 开发 / 技术 / 转让 / 有关 / 营业税 / 问题 / 的 / 批复,Y
投注差,投注 / 差,投注 / 差,Y
trademark,TRADEMARK,TRADEMARK,Y
国税发2008 28号,国 / 税发 / 2008 / 28 / 号,国税 / 发 / 2008 / 28 / 号,N
汇发 2008 64,汇发 / 2008 / 64,汇 / 发 / 2008 / 64,N
银行账户管理办法,银行 / 账户 / 管理 / 办法,银行 / 账户 / 管理 / 办法,Y
诉讼费,诉讼费,诉讼费,Y
商业银行资本充足率管理办法,商业 / 银行 / 资本 / 充足率 / 管理 / 办法,商业 / 银行 / 资本 / 充足率 / 管理 / 办法,Y
labor law,LABOR / LAW,LABOR / LAW,Y
实施细则,实施 / 细则,实施 / 细则,Y
定牌加工,定牌 / 加工,定 / 牌 / 加工,N
股份合作制,股份 / 合作制,股份合作制,N
国税函[2009]81号,国税函 / 2009 / 81 / 号,国税 / 函81 / 号,N
排污许可证管理条例,排污 / 许可证 / 管理 / 条例,排污 / 许可证 / 管理 / 条例,Y
百度,百度,百 / 度,N
关于企业手续费及佣金支出税前扣除政策的通知,关于 / 企业 / 手续费 / 及 / 佣金 / 支出 / 税前 / 扣除 / 政策 / 的 / 通知,关于 / 企业 / 手续费 / 及 / 佣金 / 支出 / 税 / 前 / 扣除 / 政策 / 的 / 通知,N
资产管理,资产 / 管理,资产 / 管理,Y
特种设备安全监察条例,特种 / 设备 / 安全 / 监察 / 条例,特种 / 设备 / 安全 / 监察 / 条例,Y
财税 2011 111,财税 / 2011 / 111,财税 / 2011 / 111,Y
中泰税收协定,中 / 泰 / 税收 / 协定,中泰 / 税收 / 协定,N
增值税一般纳税人跨地区设置非独立核算分支机构增值税管理办法,增值税 / 一般 / 纳税人 / 跨 / 地区 / 设置 / 非 / 独立 / 核算 / 分支 / 机构 / 增值税 / 管理 / 办法,增值税 / 一般 / 纳税人 / 跨 / 地区 / 设置 / 非 / 独立 / 核算 / 分支 / 机构 / 增值税 / 管理 / 办法,Y
税控安全设备,税控 / 安全 / 设备,税 / 控 / 安全 / 设备,N
重复建立劳动关系,重复 / 建立 / 劳动 / 关系,重复 / 建立 / 劳动 / 关系,Y
"工作年限 个人所得税, 一次性补偿 个人所得税",工作 / 年限 / 个人 / 所得税 / 一次性 / 补偿 / 个人 / 所得税,工作年限 / 个人所得税 / 一次性 / 补偿 / 个人所得税,N
版税,版税,版税,Y
劳动法律,劳动 / 法律,劳动 / 法律,Y
公司住所,公司 / 住所,公司 / 住所,Y
上海 小额贷款公司,上海 / 小额 / 贷款 / 公司,上海 / 小额贷款 / 公司,N
高新技术企业税收优惠,高新 / 技术 / 企业 / 税收 / 优惠,高新技术 / 企业 / 税收优惠,N
英属维尔京群岛,英属 / 维尔京 / 群岛,英属 / 维尔京 / 群岛,Y
类似商品和服务区分表,类似 / 商品 / 和 / 服务 / 区 / 分表,类似 / 商品 / 和 / 服务 / 区分 / 表,N
国家税务总局公告,国家 / 税务 / 总局 / 公告,国家 / 税务 / 总局 / 公告,Y
预提所得税征收管理办法（试行）,预提 / 所得税 / 征收 / 管理 / 办法 / 试行,预 / 提 / 所得税 / 征收 / 管理 / 办法 / 试行,N
同股同权,同股 / 同权,同 / 股 / 同 / 权,N
2011 27,2011 / 27,2011 / 27,Y
违章建筑,违章 / 建筑,违章 / 建筑,Y
基金法,基金 / 法,基金法,N
"中外合资"" ""职工奖励",中外 / 合资 / 职工 / 奖励,中外合资 / 职工 / 奖励,N
"中外合资"" ""储备基金",中外 / 合资 / 储备 / 基金,中外合资 / 储备基金,N
税征收管理办法,税 / 征收 / 管理 / 办法,税 / 征收 / 管理 / 办法,Y
浙江省 司法鉴定,浙江 / 省 / 司法 / 鉴定,浙江省 / 司法鉴定,N
药品政府定价,药品 / 政府 / 定价,药品 / 政府 / 定价,Y
收据能否作为索赔的证据,收据 / 能否 / 作为 / 索赔 / 的 / 证据,收据 / 能否 / 作为 / 索赔 / 的 / 证据,Y
保税 外汇,保税 / 外汇,保税 / 外汇,Y
产品装潢,产品 / 装潢,产品 / 装潢,Y
稽查 偷税,稽查 / 偷税,稽查 / 偷税,Y
整体产权转让 与 流转税,整体 / 产权 / 转让 / 与 / 流转 / 税,整体 / 产权转让 / 与 / 流转税,N
转让 与 定义 与 法律,转让 / 与 / 定义 / 与 / 法律,转让 / 与 / 定义 / 与 / 法律,Y
外资保险公司股权转让,外资 / 保险 / 公司 / 股权 / 转让,外资 / 保险 / 公司 / 股权 / 转让,Y
定制加工,定制 / 加工,定制 / 加工,Y
投保人,投保人,投保人,Y
公司股权转让 评估,公司 / 股权 / 转让 / 评估,公司 / 股权 / 转让 / 评估,Y
碳捕捉,碳 / 捕捉,碳 / 捕捉,Y
征收征用,征收 / 征用,征收 / 征用,Y
关于进一步下放外商投资企业审批权限的通知,关于 / 进一步 / 下放 / 外商 / 投资 / 企业 / 审批 / 权限 / 的 / 通知,关于 / 进一步 / 下放 / 外商 / 投资 / 企业 / 审批 / 权限 / 的 / 通知,Y
财税 2013 106,财税 / 2013 / 106,财税 / 2013 / 106,Y
国税函[2009]118号,国税函 / 2009 / 118 / 号,国税 / 函118 / 号,N
金融企业国有资产转让管理办法,金融 / 企业 / 国有 / 资产 / 转让 / 管理 / 办法,金融 / 企业 / 国有 / 资产 / 转让 / 管理 / 办法,Y
离岸公司,离岸 / 公司,离岸 / 公司,Y
土地出让,土地 / 出让,土地 / 出让,Y
股息 所得税,股息 / 所得税,股息 / 所得税,Y
外籍个人取得有关补贴征免个人所得税,外籍 / 个人 / 取得 / 有关 / 补贴 / 征免 / 个人 / 所得税,外籍 / 个人 / 取得 / 有关 / 补贴 / 征 / 免 / 个人所得税,N
建设用地,建设 / 用地,建设 / 用地,Y
公司法解释,公司法 / 解释,公司法 / 解释,Y
技术服务费,技术 / 服务费,技术 / 服务费,Y
关于纳税人资产重组有关增值税问题的公告,关于 / 纳税人 / 资产 / 重组 / 有关 / 增值税 / 问题 / 的 / 公告,关于 / 纳税人 / 资产重组 / 有关 / 增值税 / 问题 / 的 / 公告,N
税收情报交换协议,税收 / 情报 / 交换 / 协议,税收 / 情报 / 交换 / 协议,Y
企业股权转让所得,企业 / 股权 / 转让 / 所得,企业 / 股权 / 转让 / 所得,Y
关于北京等8省市营业税改征增值税试点增值税一般纳税人资格认定有关事项的公告,关于 / 北京 / 等 / 8 / 省市 / 营业税 / 改征 / 增值税 / 试点 / 增值税 / 一般 / 纳税人 / 资格 / 认定 / 有关 / 事项 / 的 / 公告,关于 / 北京 / 等 / 8 / 省市 / 营业税 / 改 / 征 / 增值税 / 试点 / 增值税 / 一般 / 纳税人 / 资格 / 认定 / 有关 / 事项 / 的 / 公告,N
假设税,假设 / 税,假设 / 税,Y
软件企业认定,软件 / 企业 / 认定,软件 / 企业 / 认定,Y
生产性企业,生产性 / 企业,生产性 / 企业,Y
个人所得税免税,个人 / 所得税 / 免税,个人所得税 / 免税,N
外商企业法,外商 / 企业 / 法,外商 / 企业法,N
司法解释,司法 / 解释,司法 / 解释,Y
以色列,以色列,以色列,Y
国家税务总局关于融资租赁业务征收流转税问题的通知,国家 / 税务 / 总局 / 关于 / 融资 / 租赁 / 业务 / 征收 / 流转税 / 问题 / 的 / 通知,国家 / 税务 / 总局 / 关于 / 融资 / 租赁业务 / 征收 / 流转税 / 问题 / 的 / 通知,N
受贿,受贿,受贿,Y
流动资金贷款管理暂行办法,流动 / 资金 / 贷款 / 管理 / 暂行 / 办法,流动资金 / 贷款 / 管理 / 暂行 / 办法,N
国有产权 转让,国有 / 产权 / 转让,国有 / 产权转让,N
股份有限公司国有股权管理暂行办法,股份 / 有限 / 公司 / 国有 / 股权 / 管理 / 暂行 / 办法,股份 / 有限公司 / 国有股 / 权 / 管理 / 暂行 / 办法,N
财税[2009]61号,财税 / 2009 / 61 / 号,财税61 / 号,N
公司合并,公司 / 合并,公司 / 合并,Y
总机构,总 / 机构,总机构,N
特许权使用费 10%,特许 / 权 / 使用费 / 10%,特许权 / 使用费 / 10,N
服务贸易 与 结汇,服务 / 贸易 / 与 / 结汇,服务 / 贸易 / 与 / 结汇,Y
考勤记录,考勤 / 记录,考勤 / 记录,Y
国家税务总局关于开展2012年税收专项检查工作的通知,国家 / 税务 / 总局 / 关于 / 开展 / 2012 / 年 / 税收 / 专项 / 检查 / 工作 / 的 / 通知,国家 / 税务 / 总局 / 关于 / 开展 / 2012年 / 税收 / 专项 / 检查 / 工作 / 的 / 通知,N
中国与香港的税收协定,中国 / 与 / 香港 / 的 / 税收 / 协定,中国 / 与 / 香港 / 的 / 税收 / 协定,Y
财税2012 48号,财税 / 2012 / 48 / 号,财税 / 2012 / 48 / 号,Y
专业技术人员 与 继续教育,专业 / 技术 / 人员 / 与 / 继续 / 教育,专业 / 技术 / 人员 / 与 / 继续 / 教育,Y
工商登记管理条例,工商 / 登记 / 管理 / 条例,工商 / 登记 / 管理 / 条例,Y
对外担保管理办法,对外 / 担保 / 管理 / 办法,对外 / 担保 / 管理 / 办法,Y
外商投资企业并购境内企业,外商 / 投资 / 企业 / 并购 / 境内 / 企业,外商 / 投资 / 企业 / 并购 / 境内 / 企业,Y
境外机构人民币银行结算账户管理办法,境外 / 机构 / 人民币 / 银行 / 结算 / 账户 / 管理 / 办法,境外 / 机构 / 人民币 / 银行 / 结算 / 账户 / 管理 / 办法,Y
关于企业超过法定退休年龄人员参加社会保险问题,关于 / 企业 / 超过 / 法定 / 退休 / 年龄 / 人员 / 参加 / 社会 / 保险 / 问题,关于 / 企业 / 超过 / 法定 / 退休年龄 / 人员 / 参加 / 社会保险 / 问题,N
机关法人,机关 / 法人,机关 / 法人,Y
《中华人民共和国合同法》第八十八条,中华 / 人民 / 共和国 / 合同 / 法 / 第 / 八十八条,中华人民共和国 / 合同法 / 第八十八 / 条,N
增加投资总额,增加 / 投资 / 总额,增加 / 投资 / 总额,Y
建筑业 税收管理,建筑业 / 税收 / 管理,建筑业 / 税收 / 管理,Y
财税字[1994]020号,财税 / 字 / 1994 / 020 / 号,财税 / 字020 / 号,N
保险资金,保险 / 资金,保险 / 资金,Y
暂估+存货,暂估 / 存货,暂 / 估 / 存货,N
